Year,Region,State,Total,Male,Female
2014,Midwest,Illinois,172,160,12
2014,Midwest,Indiana,115,100,15
2014,Midwest,Iowa,65,60,5
2014,Midwest,Kansas,65,50,15
2014,Midwest,Michigan,190,180,10
2014,Midwest,Minnesota,91,80,11
2014,Midwest,Missouri,179,170,9
2014,Midwest,Nebraska,46,40,6
2014,Midwest,North Dakota,18,10,8
2014,Midwest,Ohio,230,213,17
2014,Midwest,South Dakota,22,20,2
2014,Midwest,Wisconsin,115,100,15
2014,Northeast,Connecticut,40,30,10
2014,Northeast,Maine,50,40,10
2014,Northeast,Massachusetts,62,60,2
2014,Northeast,New Hampshire,33,30,3
2014,Northeast,New Jersey,79,70,9
2014,Northeast,New York,191,180,11
2014,Northeast,Pennsylvania,274,260,14
2014,Northeast,Rhode Island,11,10,1
2014,Northeast,Vermont,20,10,10
2014,South,Alabama,99,90,9
2014,South,Arkansas,85,80,5
2014,South,Delaware,20,10,10
2014,South,District Of Columbia,8,7,1
2014,South,Florida,517,493,24
2014,South,Georgia,164,150,14
2014,South,Kentucky,123,110,13
2014,South,Louisiana,93,90,3
2014,South,Maryland,77,70,7
2014,South,Mississippi,61,50,11
2014,South,North Carolina,190,180,10
2014,South,Oklahoma,124,110,14
2014,South,South Carolina,111,100,11
2014,South,Tennessee,143,130,13
2014,South,Texas,469,441,28
2014,South,Virginia,171,160,11
2014,South,West Virginia,62,50,12
2014,West,Alaska,31,20,11
2014,West,Arizona,240,227,13
2014,West,California,603,582,21
2014,West,Colorado,168,160,8
2014,West,Hawaii,22,20,2
2014,West,Idaho,46,40,6
2014,West,Montana,46,40,6
2014,West,Nevada,100,90,10
2014,West,New Mexico,81,70,11
2014,West,Oregon,130,120,10
2014,West,Utah,70,60,10
2014,West,Washington,174,160,14
2014,West,Wyoming,22,20,2
2015,Midwest,Illinois,158,150,8
2015,Midwest,Indiana,107,100,7
2015,Midwest,Iowa,65,50,15
2015,Midwest,Kansas,68,60,8
2015,Midwest,Michigan,182,170,12
2015,Midwest,Minnesota,77,70,7
2015,Midwest,Missouri,182,170,12
2015,Midwest,Nebraska,26,20,6
2015,Midwest,North Dakota,19,10,9
2015,Midwest,Ohio,219,210,9
2015,Midwest,South Dakota,28,20,8
2015,Midwest,Wisconsin,109,100,9
2015,Northeast,Connecticut,43,30,13
2015,Northeast,Maine,49,40,9
2015,Northeast,Massachusetts,66,60,6
2015,Northeast,New Hampshire,32,30,2
2015,Northeast,New Jersey,73,70,3
2015,Northeast,New York,157,140,17
2015,Northeast,Pennsylvania,244,230,14
2015,Northeast,Rhode Island,15,10,5
2015,Northeast,Vermont,18,10,8
2015,South,Alabama,129,120,9
2015,South,Arkansas,93,80,13
2015,South,Delaware,11,10,1
2015,South,District Of Columbia,8,7,1
2015,South,Florida,570,545,25
2015,South,Georgia,186,175,11
2015,South,Kentucky,130,120,10
2015,South,Louisiana,96,90,6
2015,South,Maryland,79,70,9
2015,South,Mississippi,58,50,8
2015,South,North Carolina,215,202,13
2015,South,Oklahoma,126,120,6
2015,South,South Carolina,118,110,8
2015,South,Tennessee,149,140,9
2015,South,Texas,518,479,39
2015,South,Virginia,175,163,12
2015,South,West Virginia,59,50,9
2015,West,Alaska,27,20,7
2015,West,Arizona,216,205,11
2015,West,California,528,504,24
2015,West,Colorado,165,160,5
2015,West,Hawaii,25,20,5
2015,West,Idaho,57,50,7
2015,West,Montana,47,40,7
2015,West,Nevada,96,90,6
2015,West,New Mexico,70,60,10
2015,West,Oregon,125,120,5
2015,West,Utah,61,50,11
2015,West,Washington,181,170,11
2015,West,Wyoming,24,20,4
2016,Midwest,Illinois,162,150,12
2016,Midwest,Indiana,70,60,10
2016,Midwest,Iowa,64,60,4
2016,Midwest,Kansas,60,50,10
2016,Midwest,Michigan,159,150,9
2016,Midwest,Minnesota,95,90,5
2016,Midwest,Missouri,154,140,14
2016,Midwest,Nebraska,27,20,7
2016,Midwest,North Dakota,16,10,6
2016,Midwest,Ohio,245,230,15
2016,Midwest,South Dakota,18,10,8
2016,Midwest,Wisconsin,132,120,12
2016,Northeast,Connecticut,36,30,6
2016,Northeast,Maine,29,20,9
2016,Northeast,Massachusetts,68,60,8
2016,Northeast,New Hampshire,33,30,3
2016,Northeast,New Jersey,67,60,7
2016,Northeast,New York,153,140,13
2016,Northeast,Pennsylvania,263,250,13
2016,Northeast,Rhode Island,16,10,6
2016,Northeast,Vermont,25,20,5
2016,South,Alabama,128,120,8
2016,South,Arkansas,79,70,9
2016,South,Delaware,24,20,4
2016,South,District Of Columbia,8,7,1
2016,South,Florida,530,506,24
2016,South,Georgia,202,190,12
2016,South,Kentucky,108,100,8
2016,South,Louisiana,75,70,5
2016,South,Maryland,67,60,7
2016,South,Mississippi,50,40,10
2016,South,North Carolina,184,171,13
2016,South,Oklahoma,110,100,10
2016,South,South Carolina,120,110,10
2016,South,Tennessee,156,140,16
2016,South,Texas,530,502,28
2016,South,Virginia,196,185,11
2016,South,West Virginia,50,40,10
2016,West,Alaska,17,10,7
2016,West,Arizona,227,217,10
2016,West,California,490,470,20
2016,West,Colorado,175,160,15
2016,West,Hawaii,11,10,1
2016,West,Idaho,58,50,8
2016,West,Montana,42,40,2
2016,West,Nevada,107,100,7
2016,West,New Mexico,71,60,11
2016,West,Oregon,122,110,12
2016,West,Utah,59,50,9
2016,West,Washington,174,160,14
2016,West,Wyoming,23,20,3
